vehicle_day_id,Region,Fleet,Vehicle ID,Date,dist,runtime,idling_time,idling_mins,driving_time,SOC,energy,temp,tdiff,over65,ptemp,speed,Efficiency,Heater,elec_heat,region_NC,region_SC,region_RM
118,NC,NC1 Lion,EV058,5/10/2021,11.63699158,2.082222222,1.151666667,69.10000002,0.930555556,18.90155076,39.6932566,60.6128563,-4.3871437,0,0,10.45321223,3.410955171,electric,1,1,0,0
119,NC,NC1 Lion,EV058,5/11/2021,26.52746784,3.831388889,1.804722222,108.2833333,2.026666667,46.68027169,98.02857054,72.6125176,7.6125176,1,7.612517595,11.44075391,3.695361017,electric,1,1,0,0
120,NC,NC1 Lion,EV058,5/12/2021,14.92077352,1.725277778,0.595555556,35.73333336,1.129722222,30.23643137,63.49650587,85.298,20.298,1,20.298,12.79718767,4.255577352,electric,1,1,0,0
121,NC,NC1 Lion,EV058,5/13/2021,12.8448677,2.095555556,1.1325,67.95,0.963055556,21.19385422,44.50709386,58.9136,-6.0864,0,0,11.08140489,3.464970983,electric,1,1,0,0
122,NC,NC1 Lion,EV058,5/14/2021,28.90495147,3.675555555,1.524722222,91.48333332,2.150833334,49.48413805,103.9166899,68.3288,3.3288,1,3.3288,12.35776166,3.59511726,electric,1,1,0,0
123,NC,NC1 Lion,EV058,5/17/2021,6.606266033,1.449444444,0.951111111,57.06666666,0.498333333,10.42522969,21.89298234,55.22,-9.78,0,0,7.764610152,3.313972255,electric,1,1,0,0
124,NC,NC1 Lion,EV058,5/18/2021,24.41171685,3.506944445,1.743333334,104.6,1.763611111,37.0435328,77.79141889,64.09403519,-0.90596481,0,0,12.32465865,3.186642684,electric,1,1,0,0
125,NC,NC1 Lion,EV058,5/19/2021,14.9364319,1.694722222,0.655555556,39.33333336,1.039166667,28.33488921,59.50326733,74.606,9.606,1,9.606,14.06298476,3.983767189,electric,1,1,0,0
126,NC,NC1 Lion,EV058,5/20/2021,15.89297552,2.241111111,1.091388889,65.48333334,1.149722222,22.33951332,46.91297796,49.58901173,-15.41098827,0,0,13.54655318,2.95180584,electric,1,1,0,0
127,NC,NC1 Lion,EV058,5/21/2021,26.19663183,3.485555556,1.494722222,89.68333332,1.990833333,49.03026062,102.9635473,58.0910264,-6.9089736,0,0,12.6102617,3.930411664,electric,1,1,0,0
128,NC,NC1 Lion,EV058,5/22/2021,17.88903377,2.0625,0.799444444,47.96666664,1.263055556,31.79987159,66.77973033,69.836,4.836,1,4.836,15.443949,3.73299817,electric,1,1,0,0
129,NC,NC1 Lion,EV058,5/24/2021,11.29178567,1.9375,1.068888889,64.13333334,0.868611111,24.32280543,51.07789141,59.7272,-5.2728,0,0,10.89319481,4.523455625,electric,1,1,0,0
130,NC,NC1 Lion,EV058,5/25/2021,24.40319255,3.365833333,1.534166666,92.04999996,1.831666667,44.34656145,93.12777904,71.8002588,6.8002588,1,6.8002588,12.26307522,3.816212934,electric,1,1,0,0
131,NC,NC1 Lion,EV058,5/26/2021,13.81756141,1.251666667,0.307777778,18.46666668,0.943888889,28.86127111,60.60866932,79.844,14.844,1,14.844,14.45488384,4.386350639,electric,1,1,0,0
132,NC,NC1 Lion,EV058,5/27/2021,13.34975564,2.021666667,0.994444444,59.66666664,1.027222222,26.93759314,56.56894559,56.9345,-8.0655,0,0,10.45972083,4.237451764,electric,1,1,0,0
133,NC,NC1 Lion,EV058,5/28/2021,17.32935811,2.734722223,1.334722223,80.08333338,1.4,25.40794045,53.35667493,69.305,4.305,1,4.305,11.43701849,3.07897584,electric,1,1,0,0
134,NC,NC1 Lion,EV058,6/1/2021,9.908871801,1.666944444,0.916111111,54.96666666,0.750833333,14.70977926,30.89053644,70.36703519,5.36703519,1,5.36703519,11.2330501,3.117462518,electric,1,1,0,0
135,NC,NC1 Lion,EV058,6/2/2021,13.96126262,1.390833333,0.436944444,26.21666664,0.953888889,28.8734153,60.63417214,92.786,27.786,1,27.786,14.40783705,4.343029265,electric,1,1,0,0
142,NC,NC1 Lion,EV059,3/22/2021,10.13917641,0.892222222,0.233888889,14.03333334,0.658333333,23.84696412,50.07862465,39.78804692,-25.21195308,0,0,14.15610346,4.939121544,electric,1,1,0,0
143,NC,NC1 Lion,EV059,3/27/2021,37.46868289,2.733055556,0.045277778,2.71666668,2.687777778,52.79972068,110.8794134,63.824,-1.176,0,0,13.94039463,2.9592557,electric,1,1,0,0
144,NC,NC1 Lion,EV059,4/6/2021,15.98300275,1.044166667,0.144444444,8.66666664,0.899722222,24.68293893,51.83417176,43.35803519,-21.64196481,0,0,16.52598765,3.243080951,electric,1,1,0,0
145,NC,NC1 Lion,EV059,4/8/2021,15.61796603,0.980555556,0.155,9.3,0.825555556,24.08283289,50.57394907,41.15,-23.85,0,0,18.77382414,3.23819049,electric,1,1,0,0
146,NC,NC1 Lion,EV059,4/9/2021,11.47190399,0.724722222,0.195277778,11.71666668,0.529444444,9.416994165,19.77568775,43.034,-21.966,0,0,21.65716768,1.723836581,electric,1,1,0,0
147,NC,NC1 Lion,EV059,4/12/2021,31.44232906,1.679444444,0.178611111,10.71666666,1.500833333,51.328123,107.7890583,44.49802346,-20.50197654,0,0,19.7100454,3.428151206,electric,1,1,0,0
148,NC,NC1 Lion,EV059,4/13/2021,17.00584202,0.9125,0.033055556,1.98333336,0.879444444,20.06230164,42.13083343,44.366,-20.634,0,0,20.24959334,2.477432954,electric,1,1,0,0
149,NC,NC1 Lion,EV059,4/15/2021,10.62201874,0.702222222,0.1475,8.85,0.554722222,11.37710613,23.89192287,44.09607038,-20.90392962,0,0,19.139376,2.249282689,electric,1,1,0,0
150,NC,NC1 Lion,EV059,4/22/2021,8.327267286,0.726944444,0.107222222,6.43333332,0.619722222,8.950221209,18.79546454,47.327,-17.673,0,0,10.59827402,2.257098745,electric,1,1,0,0
