id,Fleet,Vehicle ID,Date,Energy Consumption Rate,Total Distance,Total Run Time,Idling Time,Driving Time,Initial SOC,Final SOC,SOC Used,Min SOC,Max SOC,Total Energy Consumption,Average Ambient Temperature,Average Speed,Initial Odometer,Final Odometer,Percent Idling Time,Average Driving Speed,Fleet_full,Region,Fleet ID,Model Year,Initial Service Year,Data Collection Start,Data Collection End,Model Name,Manufacturer,Weight Class,Curb Weight,Capital Cost,Nominal Range,Nominal Efficiency,Peak Power,Peak Torque,Towing Capacity,Battery Chemistry,Rated Energy,Fuel Fired Heater?,Max Charge Rate,Charge Connector,Total Fleet Size,% Electrified,State,Census Region,Body Style,Sector,Vocation,Vehicle Platform,Fleet Type,Data Collection Method,Heater Type,vehicle_name
105,NC1,EV058,4/24/21,3.404087679,17.09303072,1.490833333,0.142222222,1.348611111,NA,NA,27.70770251,NA,NA,58.18617527,63.86,11.46542027,18669.55586,18687.43322,0.095397801,12.67454389,NC1 Lion,NC,Fleet10,2017,2015,44215,2022-06-06T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
107,NC1,EV058,4/27/21,3.492089637,24.09034605,2.853888889,1.226666667,1.627222223,NA,NA,40.05983227,NA,NA,84.12564777,52.598,8.441234744,18716.24368,18735.13749,0.429822854,14.80458275,NC1 Lion,NC,Fleet10,2017,2015,44215,2022-06-06T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
109,NC1,EV058,4/29/21,3.368708601,10.02498903,1.448611111,0.698611111,0.75,NA,NA,16.08155561,NA,NA,33.77126677,53.933,6.920414288,18784.97123,18796.46018,0.482262704,13.36665204,NC1 Lion,NC,Fleet10,2017,2015,44215,2022-06-06T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
110,NC1,EV058,4/30/21,3.558956339,25.35126869,3.586944444,1.595555555,1.991388889,NA,NA,42.96383733,NA,NA,90.2240584,64.89725,7.067650219,18804.70299,18822.40433,0.444823046,12.73044598,NC1 Lion,NC,Fleet10,2017,2015,44215,2022-06-06T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
111,NC1,EV058,5/1/21,3.289061885,22.3149255,1.927777778,0.358888889,1.568888889,NA,NA,34.9500814,NA,NA,73.39517093,77.63,11.57546568,18847.47727,18871.57857,0.186167147,14.22339444,NC1 Lion,NC,Fleet10,2017,2015,44215,2022-06-06T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
112,NC1,EV058,5/3/21,3.439745452,13.80222924,1.77,0.630833333,1.139166667,NA,NA,22.60769298,NA,NA,47.47615525,55.067,7.797869627,18871.95605,18888.53665,0.356403013,12.11607541,NC1 Lion,NC,Fleet10,2017,2015,44215,2022-06-06T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
113,NC1,EV058,5/4/21,3.434803397,33.26762727,2.692777778,0.491666667,2.201111112,NA,NA,54.41321864,NA,NA,114.2677592,69.2420088,12.35439015,18892.27814,18915.22599,0.182587167,15.11401541,NC1 Lion,NC,Fleet10,2017,2015,44215,2022-06-06T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
119,NC1,EV058,5/11/21,3.695361017,26.52746784,3.831388889,1.804722222,2.026666667,NA,NA,46.68027169,NA,NA,98.02857054,72.6125176,6.923721034,19061.41537,19077.90428,0.471036033,13.0892111,NC1 Lion,NC,Fleet10,2017,2015,44215,2022-06-06T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
122,NC1,EV058,5/14/21,3.59511726,28.90495147,3.675555555,1.524722222,2.150833334,NA,NA,49.48413805,NA,NA,103.9166899,68.3288,7.864104089,19143.06355,19160.69641,0.41482769,13.43895457,NC1 Lion,NC,Fleet10,2017,2015,44215,2022-06-06T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
128,NC1,EV058,5/22/21,3.73299817,17.88903377,2.0625,0.799444444,1.263055556,NA,NA,31.79987159,NA,NA,66.77973033,69.836,8.673470919,19350.2287,19369.09728,0.387609427,14.16329922,NC1 Lion,NC,Fleet10,2017,2015,44215,2022-06-06T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
143,NC1,EV059,3/27/21,2.9592557,37.46868289,2.733055556,0.045277778,2.687777778,NA,NA,52.79972068,NA,NA,110.8794134,63.824,13.70944795,15109.62408,15147.09276,0.016566724,13.94039463,NC1 Lion,NC,Fleet10,2017,2015,44223,2022-07-01T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
144,NC1,EV059,4/6/21,3.243080951,15.98300275,1.044166667,0.144444444,0.899722222,NA,NA,24.68293893,NA,NA,51.83417176,43.35803519,15.30694596,15147.33374,15164.16175,0.138334663,17.76437478,NC1 Lion,NC,Fleet10,2017,2015,44223,2022-07-01T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
145,NC1,EV059,4/8/21,3.23819049,15.61796603,0.980555556,0.155,0.825555556,NA,NA,24.08283289,NA,NA,50.57394907,41.15,15.92767073,15178.9204,15195.69649,0.158073654,18.91812842,NC1 Lion,NC,Fleet10,2017,2015,44223,2022-07-01T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
